S1 S2 S3
0 0 0
958 960 953
965 966 406
964 965 292
965 287 298
184 290 298
184 288 297
187 286 295
185 288 297
185 285 292
191 288 297
187 289 297
185 640 295
885 966 956
964 966 963
964 965 960
961 961 955
964 966 963
964 966 963
963 966 963
963 965 962
963 965 347
964 294 300
186 288 304
186 289 301
185 289 302
187 289 299
188 291 298
187 291 296
174 268 278
185 292 961
372 966 963
965 966 962
965 966 962
964 966 962
965 966 962
965 966 963
964 966 963
964 966 963
964 966 302
588 289 300
185 287 300
187 292 302
185 291 301
184 291 300
186 289 300
184 290 300
185 288 297
184 290 297
186 288 299
185 288 298
185 291 299
187 288 300
184 289 298
186 290 300
185 295 305
185 313 963
963 966 963
965 966 963
947 966 962
186 966 962
188 966 962
187 525 962
188 288 962
188 288 940
182 394 398
289 399 399
303 406 398
294 382 364
307 412 403
305 403 408
306 410 408
305 410 408
303 414 409
297 414 407
303 409 396
295 390 391
269 364 366
271 367 370
288 409 404
306 408 403
300 403 390
300 405 401
303 411 399
297 408 399
300 408 402
306 403 398
291 409 402
297 409 399
288 406 391
301 403 398
302 405 394
293 403 395
298 401 394
294 399 396
300 399 393
295 399 390
279 399 393
298 398 395
292 386 384
290 401 391
289 399 396
292 399 391
290 398 392
289 398 391
280 395 391
290 397 391
289 379 383
964 964 941
962 961 956
965 966 963
962 962 957
964 964 960
965 965 962
964 965 962
964 966 962
291 398 502
292 401 392
294 401 394
293 401 396
292 391 393
234 321 943
300 366 959
290 389 963
294 403 963
294 399 391
294 388 394
295 397 392
294 403 390
298 399 394
293 396 382
300 399 391
964 492 377
965 966 960
965 965 961
965 965 960
965 965 961
964 965 961
964 965 962
964 966 962
964 964 960
960 959 951
274 386 368
298 384 391
294 390 391
278 399 390
279 367 354
292 399 388
284 396 431
289 397 963
290 422 963
293 966 963
294 966 963
964 966 963
965 966 963
964 966 963
965 966 963
965 966 963
964 965 960
964 966 963
284 966 962
295 966 961
292 965 960
294 964 956
964 962 952
964 961 949
964 961 950
964 965 960
964 965 961
965 965 962
964 966 962
965 966 963
281 390 385
290 395 387
293 397 387
291 390 381
290 393 385
287 390 382
289 385 369
964 707 371
964 800 378
964 913 364
964 953 376
965 959 380
965 962 372
964 963 374
965 965 380
293 392 381
294 389 382
300 398 388
291 396 376
294 380 388
291 396 390
292 373 372
298 405 396
298 402 397
262 361 365
294 395 387
288 376 386
280 385 391
293 399 395
299 399 394
300 399 398
297 405 398
302 404 396
297 403 397
301 405 396
299 406 394
271 362 360
298 391 393
299 387 398
296 389 396
299 396 395
300 398 399
300 387 397
301 386 399
297 399 397
297 396 396
955 373 376
964 966 380
965 966 962
965 966 962
965 966 963
965 966 963
965 966 963
964 965 962
965 966 963
965 966 962
965 966 963
965 966 963
965 965 961
965 966 962
965 966 963
965 966 963
965 966 963
